Actual Price,Predicted Price
0.192727879,0.19418441
0.192074507,0.1924474
0.190768018,0.19115552
0.190768018,0.19032001
0.192074507,0.19021858
0.192727879,0.191091
0.1914213,0.19284397
0.193381265,0.19127585
0.194688022,0.19239093
0.190114662,0.1950622
0.192074507,0.19015951
0.190114662,0.19106884
0.190114662,0.19015951
0.188154697,0.19032016
0.188807815,0.18726824
0.186848044,0.18892294
0.184888184,0.1873686
0.185541362,0.18422794
0.187501386,0.1860742
0.188154697,0.18678585
0.190114662,0.18759374
0.1914213,0.19012198
0.190114662,0.19107595
0.188154697,0.19015951
0.185541362,0.18762998
0.185541362,0.18607065
0.184234709,0.18609093
0.184888184,0.18422443
0.188154697,0.184981
0.186848044,0.187727
0.187501386,0.187343
0.190768018,0.18727562
0.190768018,0.19029787
0.192074507,0.19018438
0.193381265,0.191091
0.194034576,0.19282807
0.192727879,0.19423601
0.190768018,0.19257586
0.192074507,0.19021858
0.190768018,0.19125532
0.190114662,0.19021858
0.188807815,0.19026095
0.188154697,0.18875821
0.186848044,0.18773232
0.187501386,0.18735525
0.187501386,0.18725033
0.188807815,0.1872336
0.187501386,0.18874858
0.187501386,0.18730767
0.190768018,0.18680638
0.190768018,0.19035256
0.193381265,0.1903041
0.192074507,0.19279385
0.192074507,0.191091
0.193381265,0.19118614
0.194688022,0.1924435
0.198310465,0.19425426
0.198310465,0.198147
0.198971376,0.198147
0.199632466,0.19821352
0.202276677,0.19994321
0.205581799,0.20209056
0.208226219,0.20527303
0.200954646,0.20799528
0.199632466,0.20143145
0.198971376,0.19971056
0.198971376,0.19821352
0.201615721,0.19825362
0.201615721,0.20208657
0.200954646,0.20142227
0.20029366,0.20061758
0.198971376,0.19974695
0.198971376,0.19812708
0.202937499,0.1982474
0.202276677,0.20330323
0.2062428,0.20125964
0.206903934,0.20550376
0.206903934,0.20678484
0.208226219,0.2070787
0.208886996,0.20832664
0.214836299,0.20464523
0.218141407,0.2144091
0.214175239,0.21721639
0.215497136,0.21220396
0.21748051,0.21494636
0.212853253,0.2163153
0.218802497,0.21213374
0.222107738,0.21690659
0.223429605,0.21999067
0.223429605,0.221993
0.223429605,0.22163482
0.22475186,0.22163482
0.219463453,0.22275364
0.214175239,0.2166313
0.220785752,0.21104762
0.219463453,0.22024296
0.218802497,0.21690677
0.215497136,0.21657413
0.216158524,0.21488397
0.222768694,0.21532889
0.223429605,0.22061327
0.22475186,0.22339237
0.230701029,0.22275364
0.233345374,0.22711559
0.232023329,0.22906089
0.230701029,0.22910088
0.232684299,0.23004892
0.233345374,0.23170729
0.230040029,0.23015139
0.228057146,0.22867168
