Date,Actual,Predicted
2018-01-11,88.08000183,68.357285
2018-01-12,89.59999847,68.357285
2018-01-16,88.34999847,68.357285
2018-01-17,90.13999939,68.357285
2018-01-18,90.09999847,68.357285
2018-01-19,90.0,68.357285
2018-01-22,91.61000061,68.357285
2018-01-23,91.90000153,68.357285
2018-01-24,91.81999969,68.357285
2018-01-25,92.33000183,68.357285
2018-01-26,94.05999756,68.357285
2018-01-29,93.91999817,68.357285
2018-01-30,92.73999786,68.357285
2018-01-31,95.01000214,68.357285
2018-02-01,94.26000214,68.357285
2018-02-02,91.77999878,68.357285
2018-02-05,88.0,68.357285
2018-02-06,91.33000183,68.357285
2018-02-07,89.61000061,68.357285
2018-02-09,88.18000031,68.357285
2018-02-12,89.12999725,68.357285
2018-02-13,89.83000183,68.357285
2018-02-14,90.80999756,68.357285
2018-02-15,92.66000366,68.357285
2018-02-16,92.0,68.357285
2018-02-20,92.72000122,68.357285
2018-02-21,91.48999786,68.357285
2018-02-22,91.73000336,68.357285
2018-02-23,94.05999756,68.357285
2018-02-26,95.41999817,68.357285
2018-02-27,94.19999695,68.357285
2018-02-28,93.76999664,68.357285
2018-03-01,92.84999847,68.357285
2018-03-02,93.05000305,68.357285
2018-03-05,93.63999939,68.357285
2018-03-06,93.31999969,68.357285
2018-03-07,93.86000061,68.357285
2018-03-08,94.43000031,68.357285
2018-03-09,96.54000092,68.357285
2018-03-12,96.76999664,68.357285
2018-03-13,94.41000366,68.357285
2018-03-14,93.84999847,68.357285
2018-03-15,94.18000031,68.357285
2018-03-16,94.59999847,68.357285
2018-03-19,92.88999939,68.357285
2018-03-20,93.12999725,68.357285
2018-03-21,92.48000336,68.357285
2018-03-22,89.79000092,68.357285
2018-03-23,87.18000031,68.357285
2018-03-27,89.47000122,68.357285
2018-03-28,89.38999939,68.357285
2018-03-29,91.26999664,68.357285
2018-04-02,88.51999664,68.357285
2018-04-03,89.70999908,68.357285
2018-04-04,92.33000183,68.357285
2018-04-05,92.37999725,68.357285
2018-04-06,90.23000336,68.357285
2018-04-09,90.76999664,68.357285
2018-04-10,92.87999725,68.357285
2018-04-11,91.86000061,68.357285
2018-04-12,93.58000183,68.357285
2018-04-13,93.08000183,68.357285
