Date,Adj Close,Close,High,Low,Open,Volume
02-01-2018,4.929879665,4.983749866,4.987500191,4.862500191,4.894499779,355616000
03-01-2018,5.254334927,5.311749935,5.34250021,5.09375,5.102499962,914704000
04-01-2018,5.282032967,5.339749813,5.451250076,5.317249775,5.394000053,583268000
05-01-2018,5.326793671,5.385000229,5.422749996,5.27699995,5.354750156,580124000
08-01-2018,5.490012169,5.550000191,5.625,5.46449995,5.510000229,881216000
09-01-2018,5.488528252,5.548500061,5.595499992,5.46600008,5.555500031,497000000
10-01-2018,5.531556606,5.592000008,5.595499992,5.400000095,5.454999924,582664000
11-01-2018,5.541448116,5.602000237,5.656750202,5.580249786,5.625,406032000
12-01-2018,5.514246941,5.574500084,5.624750137,5.533500195,5.590000153,359916000
16-01-2018,5.443270683,5.50274992,5.687749863,5.417250156,5.601250172,702348000
17-01-2018,5.557276726,5.618000031,5.627999783,5.422500134,5.517499924,538408000
18-01-2018,5.55035162,5.611000061,5.665999889,5.566999912,5.598499775,408632000
19-01-2018,5.690569401,5.75274992,5.777249813,5.675000191,5.702250004,609380000
22-01-2018,5.779101849,5.84224987,5.843999863,5.702499866,5.760749817,550944000
23-01-2018,5.908191204,5.972750187,5.99574995,5.877500057,5.896249771,475228000
24-01-2018,5.831282139,5.894999981,6.012249947,5.838749886,5.975999832,579972000
25-01-2018,5.844883442,5.908750057,5.993750095,5.893750191,5.949999809,409884000
26-01-2018,6.017497063,6.083250046,6.083499908,5.940000057,5.953000069,516356000
29-01-2018,6.104545116,6.171249866,6.202750206,6.015250206,6.068500042,455116000
30-01-2018,6.002411842,6.06799984,6.16050005,5.960249901,6.027750015,570832000
31-01-2018,6.078579903,6.144999981,6.231750011,6.111249924,6.144249916,478576000
01-02-2018,5.947511673,6.012499809,6.172500134,5.951499939,5.962999821,519224000
02-02-2018,5.774897575,5.837999821,5.949250221,5.779250145,5.925000191,718464000
05-02-2018,5.284754276,5.34250021,5.830749989,5.125,5.675000191,1165204000
06-02-2018,5.578543186,5.639500141,5.642499924,5.099999905,5.110000134,1114800000
07-02-2018,5.658172607,5.71999979,5.874249935,5.667500019,5.739500046,802932000
08-02-2018,5.379221439,5.438000202,5.88049984,5.437749863,5.847000122,1144000000
09-02-2018,5.739285946,5.802000046,5.972249985,5.438000202,5.956250191,1674604000
12-02-2018,5.639132023,5.700749874,5.887000084,5.625750065,5.883999825,1093172000
13-02-2018,5.752888203,5.815750122,5.862500191,5.631249905,5.664000034,625524000
14-02-2018,5.970263481,6.03550005,6.064750195,5.763750076,5.775000095,744988000
15-02-2018,6.095890999,6.162499905,6.209249973,6.038000107,6.119750023,698900000
16-02-2018,6.030108929,6.096000195,6.25,6.086750031,6.135000229,637656000
20-02-2018,6.159693241,6.227000237,6.296750069,6.114999771,6.118750095,686240000
21-02-2018,5.97248888,6.037749767,6.299250126,6.03399992,6.292250156,892292000
22-02-2018,5.992037296,6.053750038,6.140749931,5.987500191,6.068250179,534364000
23-02-2018,6.08557272,6.148250103,6.148250103,6.063000202,6.114250183,415300000
26-02-2018,6.101658821,6.164500237,6.199500084,6.101500034,6.195000172,469312000
27-02-2018,6.08878994,6.151500225,6.222750187,6.128250122,6.137499809,455436000
28-02-2018,5.988326073,6.050000191,6.202499866,6.038249969,6.162499905,523116000
01-03-2018,5.746070385,5.805250168,6.102250099,5.703000069,6.047749996,1040120000
02-03-2018,5.853216648,5.913499832,5.920000076,5.546249866,5.696499825,913428000
05-03-2018,5.831194878,5.891250134,5.931250095,5.737999916,5.862750053,620776000
06-03-2018,5.992284298,6.053999901,6.073500156,5.934000015,5.977499962,636808000
07-03-2018,5.984366894,6.046000004,6.098750114,5.948750019,5.949999809,581208000
08-03-2018,5.968033791,6.029500008,6.073750019,5.984749794,6.073750019,411912000
09-03-2018,6.070725441,6.133250237,6.146249771,6.06125021,6.077499866,505524000
12-03-2018,6.180347443,6.243999958,6.324999809,6.166749954,6.175000191,605060000
13-03-2018,6.129620075,6.192749977,6.362500191,6.151000023,6.287250042,619772000
14-03-2018,6.155107498,6.218500137,6.263750076,6.155499935,6.236249924,505496000
15-03-2018,6.169955254,6.233500004,6.315499783,6.190999985,6.232250214,401952000
16-03-2018,6.198163986,6.262000084,6.28125,6.211999893,6.25,399456000
19-03-2018,5.963580608,6.025000095,6.233749866,5.925000191,6.204500198,713772000
20-03-2018,6.17589283,6.239500046,6.278749943,6.027999878,6.027999878,554696000
21-03-2018,6.150653362,6.214000225,6.300000191,6.18324995,6.232999802,438688000
22-03-2018,5.984613419,6.046249866,6.197000027,6.008500099,6.150000095,551196000
23-03-2018,5.764878273,5.824250221,6.0625,5.813000202,6.059999943,735620000
26-03-2018,6.049692631,6.111999989,6.113249779,5.897500038,5.949999809,611424000
27-03-2018,5.580524445,5.638000011,6.25,5.496250153,6.193749905,1409000000
28-03-2018,5.477338791,5.533750057,5.734749794,5.425000191,5.603250027,945904000
29-03-2018,5.730728626,5.789750099,5.887499809,5.517499924,5.602749825,916628000
02-04-2018,5.46991396,5.526249886,5.866250038,5.4375,5.718500137,922092000
03-04-2018,5.576318264,5.633749962,5.758749962,5.533750057,5.695000172,667432000
04-04-2018,5.598343372,5.656000137,5.666500092,5.349999905,5.375249863,789168000
05-04-2018,5.47808075,5.534500122,5.728250027,5.462250233,5.715000153,701240000
06-04-2018,5.301647186,5.356249809,5.539999962,5.326749802,5.430749893,662988000
09-04-2018,5.330352306,5.385250092,5.549250126,5.364999771,5.420000076,499524000
10-04-2018,5.63966608,5.697750092,5.724999905,5.560249805,5.618000031,761676000
11-04-2018,5.598343372,5.656000137,5.724500179,5.623000145,5.682750225,460244000
12-04-2018,5.805210114,5.864999771,5.882999897,5.705249786,5.75,593920000
13-04-2018,5.728500843,5.787499905,5.937749863,5.738749981,5.929249763,503036000
16-04-2018,5.728252888,5.787250042,5.821000099,5.691999912,5.794250011,350792000
17-04-2018,5.877961636,5.938499928,5.960000038,5.783750057,5.840000153,447224000
18-04-2018,5.849009991,5.909249783,5.981249809,5.819250107,5.887499809,391364000
19-04-2018,5.667628288,5.725999832,5.827499866,5.670000076,5.793749809,471996000
20-04-2018,5.659462452,5.717750072,5.802499771,5.68625021,5.71724987,386200000
23-04-2018,5.539943218,5.597000122,5.787499905,5.570750237,5.735750198,427508000
24-04-2018,5.47362566,5.53000021,5.71999979,5.464000225,5.623000145,414596000
25-04-2018,5.361283779,5.416500092,5.539500237,5.257500172,5.5,588492000
26-04-2018,5.573101044,5.63049984,5.638750076,5.513249874,5.579999924,375824000
27-04-2018,5.600568771,5.658249855,5.757500172,5.615499973,5.737500191,400848000
30-04-2018,5.565183163,5.622499943,5.724999905,5.603000164,5.674749851,327844000
01-05-2018,5.620611668,5.678500175,5.681250095,5.554999828,5.614250183,253788000
02-05-2018,5.600073338,5.65775013,5.71999979,5.631249905,5.675000191,268248000
03-05-2018,5.765372276,5.824749947,5.851250172,5.644249916,5.690000057,443144000
